Lebensmittel;Einheit;kcal;PRO;FAT;KH;FIB;GI;Standard;LiquidMl;Kategorie;Zusatzinfo;vitA;vitB1;vitB2;vitB3;vitB5;vitB6;vitB7;vitB9;vitB12;vitC;vitD;vitE;vitK;calcium;chlorid;eisen;fluorid;kalium;kupfer;magnesium;mangan;natrium;phosphor;schwefel;zink;VGN;VGT;LC;HP;KET;GF;LF;ZF
"Haselnussschokolade";100g;575;7.8;38.8;47.3;4.5;45;25;;Süßwaren;"Durchschnittswerte für Milchschokolade mit ganzen Haselnüssen.";40;0.1;0.25;1.2;0.5;0.08;5;25;0.4;1;0.2;6.2;5;155;40;2.8;0.04;450;0.5;105;0.8;50;220;75;1.6;N;J;N;N;N;N;N;N
"Schokolade Keks & Crunch";100g;548;6.1;32.4;57;2.1;60;25;;Süßwaren;"Durchschnittswerte für Milchschokolade mit Keks- und Getreidestückchen";45;0.08;0.2;0.4;;;;10;0.4;1;;0.8;;180;120;1.5;;330;;50;;90;170;;1.1;N;J;N;N;N;N;N;N
"Schokolade Mandelsplitter";100g;560;9.1;38.2;41.5;6.2;45;25;;Süßwaren;"Werte variieren je nach Kakaoanteil und Milchgehalt der Schokolade";;40;0.12;0.35;1.2;;;;35;;0.5;;8.5;;180;;3.2;;550;;120;;40;280;;N;J;N;N;N;J;N;N
"Marzipanschokolade";100g;495;5.8;28.1;52.5;4.5;65;100;;Süßwaren;"Enthält Mandeln";;0.07;0.12;0.9;;;;;;;;4.5;4.2;65;;2.8;;330;;66;;15;145;;1.2;N;J;N;N;N;N;N;N
"Schokolade Noisette";100g;557;7.4;35.8;51.3;3;45;100;;Süßwaren;"Vollmilchschokolade mit Haselnussmark (Ghazelnut)";40;0.1;0.3;0.8;0.6;0.1;4;15;0.5;1;0.2;4;3;180;80;2;0.04;450;0.5;80;0.4;60;220;50;1.5;N;J;N;N;N;N;N;N
"Nougat-Schokolade";100g;550;6.5;34;54;3.5;45;100;;Süßwaren;"Enthält Haselnüsse";40;0.08;0.3;0.8;;;;15;;1;;4.5;;160;;2.1;;380;;65;;60;180;;1.2;N;J;N;N;N;N;N;N
"Vollmilchschokolade";100g;535;6.7;30.4;56.4;2.1;45;100;;Süßwaren;"Enthält Laktose";45;0.04;0.2;0.2;0.4;0.05;3;8;0.5;1;;0.6;4;189;120;1.2;0.04;372;0.3;58;0.25;78;209;90;1.1;N;J;N;N;N;N;N;N
"Schokolade Weiß";100g;539;5.9;32.1;59;0;45;25;;Süßwaren;"Weiße Schokolade besteht hauptsächlich aus Kakaobutter, Milchpulver und Zucker.";45;0.06;0.41;0.1;0.5;0.05;4;8;0.5;;0.2;1.3;4;199;150;0.2;0.04;286;0.02;26;0.01;90;176;75;0.8;N;J;N;N;N;N;N;N
"Scholle";100g;86;18.1;1.5;0;0;;150;;Fisch&Meeresfrüchte;"Magerer Speisefisch, reich an Jod und Selen. Werte beziehen sich auf den Rohzustand.";10;0.05;0.1;2.2;0.2;0.2;1;5;1.5;;1.1;0.5;1;20;120;0.7;0.04;330;0.02;25;0.01;90;200;210;0.5;N;N;J;J;J;J;J;J
"Schwarzwälder Schinken";100g;235;29.5;12.5;1;0;;20;;Fleisch&Wurst;"Geräucherter und luftgetrockneter Rohschinken";;;0.65;0.2;5.5;;0.5;;;0.6;;;0.2;;10;;2.1;;380;;18;;2200;190;;N;N;J;J;J;J;J;N
"Schweinebauch";100g;263;15.2;22.5;0;0;;150;;Fleisch&Wurst;"Frisch, roh. Werte können je nach Fettanteil variieren.";4;0.6;0.18;4.1;0.6;0.35;3;4;0.6;;0.4;0.3;1;8;55;1;0.04;260;0.08;18;0.02;50;150;140;2.1;N;N;J;J;J;J;J;J
"Schweinebraten";100g;242;22.5;16.8;0;0;;150;;Fleisch&Wurst;"Werte beziehen sich auf gegarten Schweinebraten ohne Sauce.";3;0.65;0.2;4.5;0.6;0.4;3.5;4;0.6;;0.5;0.2;1;8;50;1.5;0.02;330;0.1;22;0.02;55;180;210;2.4;N;N;J;J;J;J;J;J
"Schweinefilet";100g;105;21;2;0;0;;150;;Fleisch&Wurst;"Mageres Teilstück vom Schwein, reich an Protein und Vitamin B1.";2;0.9;0.2;5.2;0.6;0.5;4;4;0.6;;0.4;0.1;1;6;45;1.2;0.04;380;0.1;25;0.02;50;215;240;2.4;N;N;J;J;J;J;J;J
"Schweinegeschnetzeltes";100g;118;21.5;3.5;0;0;;200;;Fleisch&Wurst;"Werte beziehen sich auf rohes, mageres Schweinefleisch (z.B. aus der Oberschale) ohne Butter oder Öl zubereitet.";2;0.9;0.2;5.2;0.7;0.5;4;4;0.6;;0.5;0.1;1;6;50;1.5;0.01;380;0.1;25;0.02;60;220;220;2.4;N;N;J;J;J;J;J;J
"Schweinegulasch";100g;120;20.5;4.3;0;0;;200;;Fleisch&Wurst;"Mageres Muskelfleisch vom Schwein, roh/unzubereitet.";2;0.8;0.2;5.2;0.7;0.5;4;4;0.7;;0.4;0.1;1;6;55;1.8;0.03;360;0.08;23;0.01;60;190;210;2.4;N;N;J;J;J;J;J;J
"Schweinehackfleisch";100g;263;19.5;20.5;0;0;;125;;Fleisch&Wurst;"Frisch, roh. Fettgehalt kann variieren.";4;0.67;0.18;4.7;0.6;0.35;4;4;1.1;;0.5;0.1;1;8;55;1.1;0.02;300;0.06;19;0.01;65;170;210;2.4;N;N;J;J;J;J;J;J
"Schweinehaxe";100g;220;20.2;15.5;0;0;;400;;Fleisch&Wurst;"Werte beziehen sich auf die gegarte Haxe ohne Knochen, inklusive Schwarte. Schwankungen je nach Fettanteil möglich.";5;0.65;0.25;4.8;0.6;0.4;4;4;0.8;;0.5;0.2;1;10;60;1.8;0.02;280;0.1;20;0.02;80;180;210;3.2;N;N;J;J;J;J;J;J
"Schweinekotelett";100g;195;22;11.8;0;0;;200;;Fleisch&Wurst;"Reich an Vitamin B";4;0.8;0.2;5.2;0.6;0.4;3;4;0.6;;0.5;0.1;;8;45;1;0.02;330;0.1;23;0.02;55;190;210;2.2;N;N;J;J;J;J;J;J
"Schweinelende";100g;105;21.5;2.1;0;0;;150;;Fleisch&Wurst;"Mageres Teilstück vom Schwein, auch Schweinefilet genannt. Rohwerte.";2;0.95;0.2;5.2;0.7;0.5;3;4;0.6;;0.5;0.1;1;6;45;1;0.02;370;0.07;25;0.01;55;220;240;2.1;N;N;J;J;J;J;J;J
"Schweinenacken";100g;231;19.5;17;0;0;;150;;Fleisch&Wurst;"Frisch, roh";;4;0.8;0.25;4.8;0.7;0.45;4;4;0.7;;1.1;0.2;1;8;55;1.5;0.02;330;0.1;21;0.02;65;190;210;N;N;J;J;J;J;J;J
"Schweineschnitzel";100g;114;23.1;1.9;0;0;;150;;Fleisch&Wurst;"Frisch, roh, mager";4;0.9;0.2;5.2;0.6;0.5;3;4;0.6;;0.2;0.1;1;6;45;1.1;0.015;375;0.05;26;0.02;50;220;240;2.4;N;N;J;J;J;J;J;J
"Seelachs (Köhler)";100g;81;18.3;0.6;0;0;;150;;Fisch&Meeresfrüchte;"Frisch, roh. Auch bekannt als Köhler. Magerfisch.";4;0.06;0.15;3.8;0.25;0.2;1;5;3.5;1;1.3;0.5;1;15;120;0.5;0.1;330;0.04;25;0.02;90;200;210;0.4;N;N;J;J;J;J;J;J
"Staudensellerie";100g;15.8;0.7;0.2;2.2;1.6;15;150;;Gemüse;"Auch Bleichsellerie genannt, besonders kalorienarm und wasserreich.";11;0.02;0.03;0.3;0.25;0.06;1;12;;7;;0.3;29;40;150;0.2;0.01;260;0.04;11;0.1;80;24;14;0.1;J;J;J;N;N;J;J;J
"Senf";100g;100;6.1;6.4;5.2;3.4;10;10;;Gewürze;"Mittelscharfer Tafelsenf";;1;0.06;0.04;1.1;0.2;0.1;;20;;1;;1.2;5;73;1200;2;;170;0.2;50;0.5;900;120;;J;J;J;N;N;J;J;J
"Serrano Schinken";100g;230;29.5;12.5;0.5;0;;20;;Fleisch&Wurst;"Luftgetrockneter Schinken";;0.6;0.25;5.2;0.6;0.5;3;5;0.9;;0.4;0.2;0.1;10;2100;1.8;0.04;330;0.1;20;0.02;2000;180;240;2.4;N;N;J;J;J;J;J;J
"Sesamöl";100g;884;0;100;0;0;;10;;Öle&Fette;"Reines Pflanzenöl aus Sesamsamen. Hoher Anteil an ungesättigten Fettsäuren.";;;;;;;;;;;;1.4;13.6;;;;;;;;;;;;;J;J;J;N;J;J;J;J
"Sonnenblumenkerne";100g;584;22.5;49.6;11.4;8.6;35;30;;Nüsse&Samen;"Reich an Vitamin E";2;1.48;0.35;4.5;1.1;1.2;55;230;;1.4;;37.8;5.4;78;40;5.3;0.04;737;1.8;325;1.9;2;600;240;5.1;J;J;N;J;N;J;J;J
"Sonnenblumenöl";100g;884;0;100;0;0;;10;;Öle&Fette;"Hoher Gehalt an Vitamin E und Linolsäure. Nur bedingt zum scharfen Anbraten geeignet (außer High-Oleic-Varianten).";;;;;;;;;;;;48;5;;;;;;;;;;;;;J;J;J;N;J;J;J;J
"Spezi";100ml;37;0;0;9.1;0;70;250;100;Getränke;"Mischgetränk aus Cola und Orangenlimonade. Werte können je nach Hersteller leicht variieren.";;;;0.1;;0.01;;1;;2;;;;2;0.5;0.02;0.01;5;0.01;2;0.01;4;5;1;0.01;J;J;N;N;N;J;J;N
"Spitzkohl";100g;25;1.8;0.3;3;2.6;15;200;;Gemüse;"Frischer Spitzkohl, roh. Reich an Vitamin C und leicht verdaulich.";5;0.04;0.04;0.3;0.2;0.1;1;50;;50;;0.1;75;45;40;0.5;0.01;220;0.03;13;0.15;12;28;60;0.2;J;J;J;N;N;J;J;J
"Sprite";100ml;37;0;0;9.1;0;70;250;100;Getränke;"Zuckerhaltiges Erfrischungsgetränk mit Zitronen-Limetten-Geschmack. Nährwerte können je nach Region und Rezeptur (z.B. Zuckergehalt) leicht variieren.";;;;;;;;;;;;;;2;;0.02;0.01;1;0.01;1;;12;;;0.01;J;J;N;N;N;J;J;N
"Stachelbeeren";100g;44;0.8;0.2;8.5;3;15;125;;Obst;"Reich an Vitamin C";20;0.02;0.03;0.3;0.2;0.03;0.5;3;;35;;0.6;10;22;14;0.5;0.02;200;0.07;15;0.14;2;28;14;0.1;J;J;N;N;N;J;J;N
"Sucuk";100g;335;18;28.5;1;0;;50;;Fleisch&Wurst;"Knoblauchwurst aus Rind- oder Kalbfleisch, stark gewürzt. Werte können je nach Fettgehalt variieren.";15;0.15;0.25;4.5;0.6;0.35;2.5;5;2;;0.5;0.2;1;20;1200;2.5;0.04;320;0.1;15;0.05;1200;180;140;3.5;N;N;J;J;J;J;J;J
"Suppengrün";100g;28;1.4;0.3;3.1;3.4;15;250;;Gemüse;"Durchschnittswerte für eine Mischung aus Karotten, Sellerie und Lauch.";450;0.05;0.05;0.6;0.2;0.12;1.5;35;;15;;0.5;40;45;80;0.8;0.02;320;0.08;18;0.2;50;40;25;0.3;J;J;N;N;N;J;J;J
"Suppenhuhn";100g;235;19.5;17.4;0;0;;200;;Fleisch&Wurst;"Durchschnittswerte für ein ganzes Huhn mit Haut, gekocht/roh ähnlich bei Makronährstoffen. Hoher Fettanteil im Vergleich zu Hähnchenbrust.";40;0.08;0.18;6.5;0.7;0.35;3;8;0.4;;0.15;0.3;2;12;80;1.8;0.07;240;0.1;22;0.02;75;175;210;1.9;N;N;J;J;J;J;J;J
"Süßkartoffel";100g;86;1.6;0.1;20.1;3;50;200;;Gemüse;"Gegart oder roh";;709;0.08;0.06;0.61;0.8;0.21;4;11;;2.4;;0.26;1.8;30;85;0.6;0.04;337;0.15;25;0.26;55;47;21;J;J;N;N;N;J;J;N
"Süßkirschen";100g;63;0.9;0.3;13.3;1.9;25;150;;Obst;"Frisch, mit Stein gerechnet auf verzehrbaren Anteil";40;0.03;0.04;0.4;0.1;0.05;0.4;5;;12;;0.1;5;12;4;0.4;0.01;210;0.06;11;0.06;2;20;11;0.1;J;J;N;N;N;J;J;N
"Teewurst";100g;394;12.1;38.2;0.5;0;;30;;Fleisch&Wurst;"Geräucherte Rohwurst aus Schweine- und Rindfleisch. Hoher Fettgehalt.";20;0.3;0.2;4.5;;0.3;;;1.2;;;0.4;3;12;1500;2;;270;;15;;950;180;;2.4;N;N;J;N;J;J;J;J
"Thunfisch (Dose in eigenem Saft)";100g;111;25.2;0.6;0;0;;185;;Fisch&Meeresfrüchte;"Abtropfgewicht beachten";;15;0.02;0.06;12.8;0.4;0.35;3;4;4.3;;2.4;0.2;0.1;10;410;1.2;0.04;280;0.04;26;0.01;350;220;240;N;N;J;J;J;J;J;J
"Thunfisch (frisch)";100g;108;25;0.9;0;0;;150;;Fisch&Meeresfrüchte;"Reich an Omega-3-Fettsäuren";15;0.1;0.1;13;0.5;0.5;3;5;4.3;;5;0.3;1;4;60;1;0.04;330;0.05;33;0.02;40;200;240;0.7;N;N;J;J;J;J;J;J
"Tilsiter 30 %";100g;260;28.5;16.2;0.1;0;;30;;Käse;"Werte beziehen sich auf den absoluten Fettgehalt bei 30% Fett i. Tr. (ca. 16% absolut)";180;0.03;0.3;0.1;0.4;0.08;2.5;25;1.8;;0.2;0.4;3;750;1200;0.2;;90;0.02;25;0.01;750;550;;3.5;N;J;J;J;J;J;J;J
"Tilsiter 45 %";100g;340;25.5;26;0.1;0;;30;;Käse;"Schnittkäse aus Kuhmilch";220;0.03;0.35;0.1;0.5;0.1;3;30;2.1;;0.3;0.6;3;730;1200;0.5;0.02;80;0.02;30;0.01;750;480;240;3.5;N;J;J;J;J;J;J;J
"Tintenfisch (Calamari)";100g;92;15.6;1.4;3.1;0;;150;;Fisch&Meeresfrüchte;"Frisch oder gegart, nicht paniert/frittiert gerechnet. Hoher Kupfergehalt.";20;0.02;0.4;2.2;0.5;0.06;5;13;1.3;5;0.1;1.2;0.1;32;210;0.7;0.04;246;1.9;33;0.04;44;221;210;1.5;N;N;J;J;N;J;J;J
"Tomaten";100g;18;1;0.2;2.6;1.2;15;80;;Gemüse;"Frische rote Tomaten, Durchschnittswerte";83;0.06;0.04;0.5;0.3;0.1;1.5;15;;19;;0.8;5.7;9;25;0.5;0.02;242;0.04;10;0.07;3;26;11;0.2;J;J;J;N;N;J;J;N
"Tomatensaft";100ml;17;0.7;0.1;3.1;0.6;35;200;100;Getränke;"Werte können variieren je nachdem, ob Salz hinzugefügt wurde. Dies sind Werte für naturreinen Saft.";70;0.05;0.02;0.4;0.15;0.1;1;5;;15;;0.8;3;6;120;0.4;0.02;230;0.04;10;0.05;10;18;10;0.1;J;J;J;N;N;J;J;N
"Tonic Water";100ml;38;0;0;9.5;0;60;200;100;Getränke;"Enthält Chinin. Nährwerte können je nach Zuckergehalt variieren.";;;;;;;;;;;;;;2;1;0.01;0.02;1;0.01;1;0.01;11;;;0.01;J;J;N;N;N;J;J;N
"Traubenkernöl";100g;884;0;100;0;0;;10;;Öle&Fette;"Hoher Gehalt an Linolsäure und Vitamin E. Rauchpunkt ca. 190-210°C.";;;;;;;;;;;;28;;;;;;;;;;;;;;J;J;J;N;J;J;J;J
"Traubensaft";100ml;67;0.2;0.1;16;0.1;55;200;100;Getränke;"Werte variieren je nach Sorte (weiß/rot) leicht. Hoher Fruchtzuckergehalt.";2;0.02;0.02;0.1;0.05;0.02;0.4;2;;2;;0.1;0.5;10;2;0.1;0.01;120;0.03;8;0.04;3;12;5;0.05;J;J;N;N;N;J;J;N
"Vollkornbrot";100g;230;7.4;2.3;38.5;8.1;50;45;;Brot&Teigwaren;"Enthält Gluten";2;0.25;0.1;2.5;0.6;0.3;6;35;;;;1.8;5;34;450;2.5;0.02;289;0.2;80;1.5;450;220;75;1.8;J;J;N;N;N;N;J;N
"Vollkornmehl (Weizen)";100g;339;13.2;2.3;63.3;10.7;45;100;;Getreide und Teigwaren;"Enthält Gluten";2;0.46;0.12;5.1;1.1;0.46;8;45;;;;1.8;3;34;40;4.1;0.04;337;0.4;138;3.2;3;340;130;3.3;J;J;N;N;N;N;J;N
"Vollkornnudeln";100g;347;13;2.5;65;8;40;100;;Brot&Teigwaren;"Ungekochter Zustand. Vollkorn-Pasta aus Hartweizenvollkorngriess.";;0.4;0.1;4.5;0.7;0.3;1.5;45;;;;0.8;1.5;35;45;3.8;0.04;250;0.3;130;2.5;5;280;110;2.5;J;J;N;N;N;N;J;N
"Walnüsse";100g;654;15.2;65.2;7;6.7;15;30;;Nüsse&Samen;"Reich an Omega-3-Fettsäuren";2;0.34;0.15;1.1;0.6;0.54;37;98;;1.3;;0.7;2.7;98;4;2.9;0.07;441;1.5;158;3.4;2;346;140;3.1;J;J;J;J;N;J;J;J
"Walnussöl";100g;884;0;100;0;0;;10;;Öle&Fette;"Hoher Gehalt an Omega-3-Fettsäuren (Alpha-Linolensäure).";;;;;;;;;;;;39;15;;;;;;;;;;;;;J;J;J;N;J;J;J;J
"Wasser";100ml;0;0;0;0;0;;250;100;Getränke;"Leitungswasser, Werte können je nach Region und Mineralisierung variieren.";;;;;;;;;;;;;;5;2;;0.02;0.1;;2;;1;;;;J;J;J;N;J;J;J;J
"Weintrauben";100g;71;0.7;0.2;15.6;1.5;45;125;;Obst;"Durchschnittswerte für frische Weintrauben, hell oder dunkel.";6;0.05;0.03;0.2;0.05;0.07;1.5;40;;4;;0.1;15;12;4;0.4;0.01;192;0.08;8;0.06;1;20;11;0.1;J;J;N;N;N;J;J;N
"Weiße Bohnen (Dose)";100g;105;7.1;0.6;14.3;6.5;35;240;;Gemüse;"Werte gelten für abgetropftes Produkt. Je nach Lake kann der Natriumgehalt deutlich höher ausfallen.";2;0.12;0.04;0.5;0.2;0.1;1.5;85;;1;;0.1;4;62;20;2.2;0.02;380;0.24;45;0.4;5;140;40;1.1;J;J;N;N;N;J;J;J
"Weißkohl";100g;25;1.3;0.2;3;2.5;15;200;;Gemüse;"Frischer Weißkohl (Kopfkohl)";2;0.04;0.04;0.3;0.2;0.1;1;30;;45;;0.1;76;40;40;0.5;0.01;170;0.02;13;0.14;13;28;50;0.2;J;J;J;N;N;J;J;J
"Wels (Europäischer Wels)";100g;163;16;11;0;0;;150;;Fisch&Meeresfrüchte;"Reich an Omega-3-Fettsäuren";20;0.08;0.12;3.2;0.7;0.3;5;5;2.1;1.5;10;0.8;1;20;80;1.2;0.04;330;0.04;25;0.02;50;210;210;0.6;N;N;J;J;J;J;J;J
"Weißwurst";100g;264;12.5;23.5;0.5;0;;60;;Fleisch&Wurst;"Traditionelle bayerische Brühwurst aus Kalbfleisch und Schweinerückenspeck.";10;0.15;0.18;3.5;;0.2;;;1.2;;;0.2;5;15;800;1.5;;240;0.1;15;;850;180;;2.5;N;N;J;N;J;J;J;J
"Wiener Würstchen";100g;286;12;26;1;0;;50;;Fleisch&Wurst;"Durchschnittswerte für gebrühte Wiener Würstchen aus Schweine- und Rindfleisch.";10;0.25;0.18;3.5;0.5;0.2;1.5;5;1.2;;0.3;0.2;1.5;15;1350;1.6;0.04;225;0.1;15;0.04;850;180;170;2.1;N;N;J;N;J;J;J;J
"Wildschweingulasch";100g;104;20.5;2.4;0;0;;200;;Fleisch&Wurst;"Werte für mageres Wildschweinfleisch";;4;0.6;0.25;5.2;0.7;0.4;3;6;1.1;;0.4;0.2;1;10;50;3.2;0.015;330;0.18;22;0.02;50;190;210;N;N;J;J;J;J;J;J
"Wirsing";100g;27;2;0.4;2.4;2.3;15;200;;Gemüse;"Werte gelten für rohen Wirsingkohl. Reich an Chlorophyll und Vitamin K.";42;0.05;0.05;0.7;0.2;0.2;1.5;70;;50;;2.5;800;40;45;1;0.01;230;0.06;12;0.18;7;42;70;0.3;J;J;N;N;N;J;J;J
"Ziegenkäse 45 %";100g;320.1;21.5;25.5;1.2;0;;30;;Käse;"Durchschnittswerte für Ziegenweichkäse (45% F.i.Tr.)";280;0.04;0.25;0.4;0.3;0.07;1.5;25;0.5;;0.3;0.4;3;450;610;0.5;0.02;120;0.04;25;0.01;500;380;210;2.1;N;J;J;J;J;J;N;J
"Zitrone";100g;29;1.1;0.3;9.3;2.8;20;50;;Obst;"Frisch, geschält. Reich an Vitamin C.";2;0.04;0.02;0.1;0.19;0.08;0.4;11;;53;;0.15;;26;5;0.6;0.01;138;0.04;8;0.03;2;16;11;0.1;J;J;N;N;N;J;J;J
"Zitronensaft";100ml;26;0.4;0.3;3.2;0.3;20;20;100;Getränke;"Frisch gepresst";2;0.03;0.02;0.1;0.15;0.04;0.5;20;;38;;0.1;1;11;1;0.1;0.01;124;0.03;8;0.02;1;11;14;0.1;J;J;J;N;N;J;J;J
"Zucchini";100g;19;1.6;0.4;2.2;1.1;15;200;;Gemüse;"Frisch, roh gegart ähnlich";41;0.05;0.04;0.4;0.2;0.1;0.1;20;;16;;0.2;4;30;21;0.7;0.01;152;0.04;17;0.1;3;30;14;0.2;J;J;J;N;N;J;J;J
"Zucker";100g;400;0;0;100;0;65;5;;Süßwaren;"Haushaltszucker (Saccharose) aus Rüben oder Rohr.";;;;;;;;;;;;;;2;1;0.01;;2;0.01;;;1;;;0.01;J;J;N;N;N;J;J;N
"Zwetschge";100g;46;0.7;0.3;10.2;1.7;29;150;;Obst;"Frisch, Steinobst. Reich an Kalium und Fruchtsäuren.";40;0.03;0.03;0.45;0.15;0.04;0.5;3;;5;;0.8;10;12;1;0.4;0.01;221;0.06;10;0.1;2;18;11;0.1;J;J;N;N;N;J;J;N
"Zwiebelmettwurst";100g;284;14.8;24.5;1;0.1;;30;;Fleisch&Wurst;"Frische Mettwurst mit Zwiebeln, gepökelt. Durchschnittswerte je nach Fettgehalt.";20;0.65;0.25;4.8;0.7;0.35;3;5;1.2;1;0.5;0.4;5;12;1200;1.8;0.04;315;0.1;18;0.02;850;185;145;2.4;N;N;J;J;J;J;J;J
"Zander";100g;92;19.2;0.8;0;0;;150;;Fisch&Meeresfrüchte;"Magerer Süßwasserfisch, reich an hochwertigem Protein.";10;0.1;0.12;2.5;0.5;0.2;3;8;2.2;1;3.5;0.7;1;20;80;0.7;0.04;390;0.04;30;0.03;70;220;240;0.6;N;N;J;J;J;J;J;J
"Zwiebeln";100g;40;1.1;0.1;9.3;1.7;15;80;;Gemüse;"Frisch, roh. Reich an Schwefelverbindungen und Quercetin.";2;0.03;0.02;0.2;0.1;0.12;0.9;19;;7;;0.02;0.4;23;25;0.2;0.01;146;0.04;10;0.13;4;29;50;0.2;J;J;N;N;N;J;J;J
"Gekochter Schinken";100g;118;20.5;3.5;1;0;;30;;Fleisch&Wurst;"Reich an Vitamin B1, B3, B6, B12 und Zink";;0.6;0.2;4.5;;0.4;;;0.6;;0.3;0.1;1.1;10;1500;1.5;;320;;18;;950;200;;2.5;N;N;N;J;J;J;J;J
"Basmati Reis (ungekocht)";100g;351;7.4;0.6;77.3;1.3;50;100;;Getreide und Teigwaren;"Werte beziehen sich auf das trockene Produkt. Gekochter Reis hat durch Wasseraufnahme niedrigere Werte pro 100g.";;0.07;0.02;1.8;0.6;0.2;1.5;8;;;;0.1;1;9;44;0.7;0.04;115;0.1;28;0.6;5;120;50;1.1;J;J;N;N;N;J;J;J
"Rucola";100g;28;2.6;0.7;2.1;1.6;15;30;;Gemüse;"Auch bekannt als Rauke";0.19;119;0.04;0.09;0.4;0.4;0.1;0.1;97;;15;0.43;0.5;109;160;45;1.5;0.01;369;0.08;47;0.3;27;52;110;J;J;J;N;J;J;J;J
"Oliven (schwarz)";100g;145;1.2;15;0.4;3;15;30;;Gemüse;"Nährwerte beziehen sich auf eingelegte Oliven. Natriumgehalt kann je nach Lake stark variieren.";28;0.01;0.02;0.1;0.01;0.02;0.1;7;;;;1.7;3.8;64;2100;1.6;0.01;40;0.2;22;0.02;800;17;14;0.1;J;J;N;N;N;J;J;J
"Getrocknete Tomaten";100g;258;14.1;3;43.5;12.3;15;20;;Gemüse;"Werte gelten für getrocknete Tomaten ohne Öl. Bei Einlegung in Öl verschieben sich Fett- und Kalorienwerte massiv.";44;0.05;0.1;3.6;0.5;0.3;4;68;;39.2;;0.1;5.9;110;1200;9.1;0.04;3427;0.4;81;0.3;2090;356;110;0.8;J;J;J;N;N;J;J;N
"Kirschtomaten";100g;18;0.9;0.2;2.6;1.2;15;15;;Gemüse;"Reich an Vitamin C";85;0.05;0.03;0.5;0.3;0.08;1.5;20;;25;;0.8;6;11;25;0.3;0.02;235;0.06;10;0.09;3;27;11;0.2;N;N;J;J;J;J;J;J
"Lachsfilet";100g;208;20;13;0;0;;125;;Fisch&Meeresfrüchte;"Frischer Atlantik-Lachs, roh. Reich an Omega-3-Fettsäuren.";40;0.2;0.15;7.5;0.8;0.6;5;25;3.5;;16;1.5;0.1;12;60;0.7;0.04;360;0.05;29;0.02;50;240;240;0.6;J;J;N;N;N;J;J;N
"Paprika (gelb)";100g;30;1;0.2;5.3;1.4;15;150;;Gemüse;"Frisch, roh";0.18;20;0.03;0.03;0.4;0.2;0.2;1;26;183.5;140;0.8;0.7;10;11;10;0.4;0.02;210;0.08;12;0.1;2;24;14;N;N;N;N;N;N;N;N
"Lasagne (Fertiggericht)";100g;165;7.4;8.5;14.5;1.4;50;400;;Fertiggerichte;"Durchschnittswerte für eine klassische Lasagne Bolognese zum Aufwärmen.";65;0.08;0.1;1.8;0.3;0.12;1.5;12;0.4;1.5;0.1;0.8;4;95;350;1.1;0.02;210;0.12;22;0.15;410;120;85;1.3;N;N;N;N;N;N;N;N
"Chicken Nuggets TK";100g;256;14.6;14.2;17.4;1.2;60;150;;Fertiggerichte;"Durchschnittswerte für panierte, tiefgekühlte Chicken Nuggets, zubereitet im Ofen.";15;0.08;0.1;4.8;0.6;0.35;1.5;8;0.3;;0.1;0.9;4;18;450;0.9;0.04;225;0.07;22;0.1;500;165;180;0.8;N;N;N;N;N;N;N;N
"Fischstäbchen TK";100g;198;12;9.5;18;1;60;150;;Fertiggerichte;"Werte variieren je nach Panade und Fischart (meist Alaska-Seelachs), tiefgekühlt unzubereitet.";20;0.05;0.04;2.5;0.2;0.15;1;7;0.8;;1;1.8;5;20;350;0.7;0.1;280;0.04;25;0.03;400;180;150;0.4;N;N;N;N;N;N;N;N
"Ravioli (Dose)";100g;92;3;2.7;13.5;1.4;65;400;;Fertiggerichte;"Durchschnittswerte für Ravioli in Tomatensauce mit Fleischfüllung. Salzgehalt kann markenabhängig variieren.";40;0.04;0.03;1.2;;0.05;;8;;2;;0.8;3;15;450;0.8;;160;;14;;380;60;;0.5;N;N;N;N;N;N;N;N
"Currywurst mit Soße";100g;265;9.8;21.4;8.5;0.6;25;200;;Fertiggerichte;"Werte sind Durchschnittswerte für eine gebratene Currywurst mit Tomatencurrysoße.";28;0.12;0.15;3.2;0.4;0.2;2.1;6;0.5;2.5;0.4;0.8;5;22;1010;1.1;0.02;289;0.1;18;0.06;850;185;145;2.1;N;N;N;N;N;N;N;N
"Frühlingsrollen TK";100g;230;4.2;11.8;25.5;2.1;65;150;;Fertiggerichte;"Werte können je nach Füllung (Gemüse oder Fleisch) und Zubereitung (Backofen/Fritteuse) variieren. Durchschnittswerte für gefrorene Ware.";45;0.08;0.04;1.2;0.2;0.1;1.5;15;0.1;4;;1.8;12;25;450;1.1;0.02;160;0.1;18;0.2;480;65;40;0.6;N;N;N;N;N;N;N;N
"Schweineschnitzel paniert TK";100g;235;15.5;12.8;14.5;0.8;60;150;;Fertiggerichte;"Werte können je nach Panadenanteil variieren. Zubereitet in der Pfanne erhöht sich der Fettgehalt.";5;0.65;0.2;4.8;0.6;0.4;3;4;0.6;;0.2;0.3;2;25;450;1.2;0.02;310;0.12;22;0.04;380;180;190;1.9;N;N;N;J;N;N;N;N
